time_open,time_close,side,entry,sl,tp,exit_price,R,MFE_R,MAE_R,module,weekday,gmt_hour,session_bucket,comment
2023.09.06 10:30:00,2023.09.06 16:57:10,BUY,15719.28,15671.64,15766.92,15768.73,1.0380,0.9961,0.9520,EXHREJ,3,7,1,EXHREJ_L
2023.09.19 10:15:00,2023.09.19 13:12:27,BUY,15700.18,15656.00,15744.36,15744.63,1.0062,0.9836,0.1030,EXHREJ,2,7,1,EXHREJ_L
2023.10.12 10:45:00,2023.10.12 11:42:43,SELL,15493.73,15549.13,15438.33,15549.28,-1.0026,0.1164,0.9846,EXHREJ,4,7,1,EXHREJ_S
2023.11.07 11:30:00,2023.11.07 12:31:45,BUY,15103.78,15076.93,15130.63,15131.23,1.0223,0.9851,0.5791,EXHREJ,2,8,2,EXHREJ_L
2023.11.24 10:45:00,2023.11.24 11:42:21,SELL,15990.63,16021.54,15959.72,16022.18,-1.0207,0.3381,0.9948,EXHREJ,5,7,1,EXHREJ_S
2023.12.11 03:45:00,2023.12.11 18:29:39,SELL,16790.03,16834.33,16745.73,16834.38,-1.0010,0.8949,0.9785,EXHREJ,1,0,0,EXHREJ_S
2024.01.30 10:30:00,2024.01.31 17:12:54,SELL,16973.93,17032.15,16915.72,16915.48,1.0040,0.9869,0.5901,EXHREJ,2,7,1,EXHREJ_S
2024.02.01 10:15:00,2024.02.01 14:45:46,BUY,16855.38,16788.02,16922.74,16922.83,1.0013,0.9865,0.2012,EXHREJ,4,7,1,EXHREJ_L
2024.02.08 11:00:00,2024.02.08 11:40:49,BUY,16930.78,16891.80,16969.76,16970.23,1.0122,0.9865,0.2707,EXHREJ,4,8,2,EXHREJ_L
2024.02.21 10:15:00,2024.02.21 11:35:49,SELL,17084.93,17122.77,17047.09,17123.68,-1.0240,0.3581,0.9897,EXHREJ,3,7,1,EXHREJ_S
2024.03.13 11:45:00,2024.03.14 11:18:52,SELL,18004.23,18058.94,17949.52,18059.28,-1.0063,0.4469,0.9880,EXHREJ,3,8,2,EXHREJ_S
2024.03.14 11:30:00,2024.03.14 11:43:05,SELL,18052.23,18073.22,18031.24,18030.78,1.0219,0.9743,0.2644,EXHREJ,4,8,2,EXHREJ_S
2024.03.19 07:00:00,2024.03.19 10:30:41,BUY,17955.98,17932.59,17979.37,17979.63,1.0113,0.9685,0.9899,EXHREJ,2,4,0,EXHREJ_L
2024.03.27 12:15:00,2024.03.27 13:02:45,SELL,18463.13,18491.00,18435.26,18491.68,-1.0246,0.1597,0.9887,EXHREJ,3,9,2,EXHREJ_S
2024.04.02 11:15:00,2024.04.02 13:12:37,SELL,18573.53,18645.43,18501.63,18501.40,1.0033,0.9991,0.2719,EXHREJ,2,8,2,EXHREJ_S
2024.04.03 07:30:10,2024.04.03 09:26:21,BUY,18332.78,18294.05,18371.51,18371.53,1.0005,0.9747,0.7681,EXHREJ,3,4,0,EXHREJ_L
2024.04.05 10:15:00,2024.04.05 10:47:43,BUY,18251.08,18210.93,18291.23,18210.53,-1.0101,0.2852,0.9852,EXHREJ,5,7,1,EXHREJ_L
2024.04.15 17:30:00,2024.04.15 20:18:41,SELL,18144.73,18258.41,18031.05,18030.28,1.0068,0.9980,0.1720,EXHREJ,1,14,5,EXHREJ_S
2024.04.23 11:00:00,2024.04.23 13:40:38,SELL,18029.63,18108.37,17950.89,18108.38,-1.0001,0.2318,0.9874,EXHREJ,2,8,2,EXHREJ_S
2024.04.24 10:30:00,2024.04.24 11:11:10,SELL,18232.73,18281.81,18183.65,18282.28,-1.0096,0.1111,0.9893,EXHREJ,3,7,1,EXHREJ_S
2024.04.29 10:15:00,2024.04.29 12:35:00,SELL,18239.43,18283.73,18195.13,18194.98,1.0034,0.9808,0.7799,EXHREJ,1,7,1,EXHREJ_S
2024.05.15 10:45:00,2024.05.15 11:14:04,SELL,18770.73,18815.56,18725.90,18816.28,-1.0160,0.0100,0.9937,EXHREJ,3,7,1,EXHREJ_S
